"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
02ecb906-dc97-4e88-8214-9bec112152d6,ac7e3231-86ff-4503-82b8-5d3e2642aabd,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+121@gmail.com.invalid,"#N/A","#N/A",Carolina,"#N/A","#N/A",Konrad,"#N/A",BARTON BENDISH,UK,"#N/A","#N/A","#N/A",PE33 1YD,"#N/A",97 Gordon Terrace,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",77 4352 5277,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
04d89391-c56f-4602-97de-d5640ea786ee,40092802-bd1b-490d-8520-77cc08937019,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+849@gmail.com.invalid,"#N/A","#N/A",Elysee,"#N/A","#N/A",Clayborn,"#N/A",KALANG,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,32 Railway Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2454,"#N/A","#N/A",(03) 5338 4058,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
04e33cf9-9fa3-443e-968e-12e257580987,9851b49a-47e8-4dce-b811-06669170ad67,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+153@gmail.com.invalid,"#N/A","#N/A",Natalie,"#N/A","#N/A",Amby,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",202-555-0104,"#N/A","#N/A",SVP - Development,Prodly,"#N/A","#N/A",false,false
051b5159-90bc-4a44-808e-b24d4188b08c,e3346ec9-a5af-4d12-8910-74bb73264a91,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+626@gmail.com.invalid,"#N/A","#N/A",Ruthy,"#N/A","#N/A",Kane,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+33 0 1 42 14 20 00,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
056019d2-5475-4a8b-a0b0-34887f3d6834,f6e667a6-131d-4b16-8dc8-43f94aa13238,"#N/A",(03) 7823 7858,"#N/A",Marketing,"#N/A",jmanningcongagdo+787@gmail.com.invalid,"#N/A",(03) 7823 7858,Jenine,"#N/A","#N/A",Read,"#N/A",Bacchus Marsh,Australia,"#N/A","#N/A","#N/A",3340,VIC,57 Clifton Dr,0427 106 345,Bacchus Marsh,Australia,"#N/A","#N/A","#N/A","#N/A",3340,VIC,57 Clifton Dr,(03) 7823 7858,"#N/A","#N/A",Director of Marketing,Prodly,"#N/A","#N/A",false,false
0575f538-220a-4585-bf64-7f63d231b859,095d5341-f4bb-436e-8119-58e03d382c41,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+391@gmail.com.invalid,"#N/A","#N/A",Retha,"#N/A","#N/A",Cyrille,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(915) 353-3701,"#N/A","#N/A","Group President, Prepared Foods",Prodly,"#N/A","#N/A",false,false
069432ea-018e-451c-9f89-9b8a3df9aaaf,2acf4ddc-0b38-4bec-beda-09b6098d31fb,"#N/A","#N/A",1976-11-27,"#N/A","Bob Miller currently serves as the Chairman and Chief Executive Officer of Albertsons Companies, LLC, a North American grocery company comprised of over 2,300 stores under 19 popular banners including ACME, Albertsons, Carrs, Jewel-Osco, Pavilions, Safeway, Shaw’s, Star Market, United Supermarket and Vons stores.",jmanningcongagdo+452@gmail.com.invalid,"#N/A","#N/A",Sarette,"#N/A","#N/A",Tristan,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(431) 710-8894,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
06e535e1-053d-4d1a-b541-2905d111eb9e,c109dc23-dad4-4699-bf8a-8a2694d617c3,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+857@gmail.com.invalid,"#N/A","#N/A",Evey,"#N/A","#N/A",Shurlock,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 4066,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
06fbad99-5f28-4da4-b037-4a1a13132b42,790911e2-b3a9-48c3-b31c-393bf92e323c,"#N/A","#N/A","#N/A","#N/A","John H. Hammergren is chairman, president and chief executive officer of McKesson Corporation. He was elected president and CEO in 2001 and chairman in 2002.",jmanningcongagdo+773@gmail.com.invalid,"#N/A","#N/A",Jaimie,"#N/A","#N/A",Gael,"#N/A",Miami Gardens,USA,"#N/A","#N/A","#N/A",33056,FL,347 Don Shula Drive,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(235) 392-0037,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
073f5db4-403a-4f7f-afe6-5203ac05bb56,98b4c2f0-de7e-44b8-917e-b999a4cb890c,"#N/A","#N/A","#N/A","#N/A","Marc R. Benioff is chairman and CEO of salesforce.com. He founded the company in March 1999 with the idea to create an information utility that would make traditional enterprise software technology and business models obsolete. A veteran of 25 years in the software industry, he is now regarded as a pioneer of ""The End Of Software,"" demonstrating how on-demand applications can replace traditional software to deliver immediate benefit at reduced risk. In May 2003, Benioff was appointed by President George W. Bush as co-chair of the President's Information Technology Advisory Committee (PITAC), a bi-partisan organization of business leaders and academics charged to advise The President on how to maintain the United States' preeminent position in information technology.",info@salesforce.com.invalid,"#N/A",(415) 901-7040,Laryssa,"#N/A","#N/A",Benioff,"#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300","#N/A",San Francisco,USA,"#N/A","#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300",(415) 901-7000,"#N/A",Mr.,Executive Officer,"#N/A","#N/A","#N/A",false,false
076b2ae1-ae7d-40d0-9f62-a31060ac1d05,aa8f1e85-704c-421a-a354-7529f4b45488,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+365@gmail.com.invalid,"#N/A","#N/A",Alameda,"#N/A","#N/A",Brock,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",202-555-0104,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
076c4475-88d3-4f30-86db-d578fcdc0315,750734f6-cd28-4a15-9f84-0c4d14d92c4c,"#N/A",(03) 6107 6358,"#N/A",C-Level,"#N/A",jmanningcongagdo+693@gmail.com.invalid,"#N/A",(03) 6107 6358,Shandy,"#N/A","#N/A",Mylo,"#N/A",Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,0412 887 527,Melbourne,Australia,"#N/A","#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,(03) 6107 6358,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
07737d8d-32b7-4f24-a593-ba992225d6c7,8bc52755-a508-4930-82eb-496bf3c8c324,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+632@gmail.com.invalid,"#N/A","#N/A",Nolana,"#N/A","#N/A",Osmund,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
07dfc5a5-adb4-4546-ac21-9f977dbb4fba,3126b25c-10d5-4916-ba2e-b51e27254b15,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+586@gmail.com.invalid,"#N/A","#N/A",Courtenay,"#N/A","#N/A",Georas,"#N/A",CARODA,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,32 Railway Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2347,"#N/A","#N/A",(03) 5338 3968,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
08198b4f-ba47-452b-bc61-0dc3aaf445f4,f49eb208-0a70-4dd6-814b-ebfc181c3135,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+544@gmail.com.invalid,"#N/A","#N/A",Ricky,"#N/A","#N/A",Abbey,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
0848b77d-0df7-4e7b-9e82-7e5472cb3927,27b17a86-bb2f-4de7-bd11-ad6772518679,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+719@gmail.com.invalid,"#N/A","#N/A",Mariann,"#N/A","#N/A",Cullie,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,32 Railway Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 4010,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
08607570-87f5-457d-9180-9d74fbfbdff4,2c2b5ffb-e92e-4176-a6ef-a0cda9364f3c,"#N/A","#N/A",1987-05-22,"#N/A","#N/A",jmanningcongagdo+182@gmail.com.invalid,"#N/A","#N/A",Laura,"#N/A","#N/A",Conan,"#N/A",Broomfield,USA,"#N/A","#N/A","#N/A",80020,Colorado,1234 Hilltop Road,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(720) 848-5892,"#N/A",Mrs.,Client,Prodly,"#N/A","#N/A",false,false
08764f85-906e-4ccb-9c58-5ba4de48bd6e,41c5a3e7-39c4-4591-a37a-e5c6b3fb6fd0,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+708@gmail.com.invalid,"#N/A","#N/A",Eudora,"#N/A","#N/A",Walton,"#N/A",KALANG,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,26 Dalgarno Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2454,"#N/A","#N/A",(03) 5338 3999,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
089809d7-1415-4085-ae4e-f0c06f254209,3b972796-44cd-4eca-946a-8942d6c7bf20,"#N/A",(02) 6817 6366,"#N/A",Finance,"#N/A",jmanningcongagdo+48@gmail.com.invalid,"#N/A",(02) 6817 6366,Lotta,"#N/A","#N/A",Hillel,"#N/A",Kensington,Australia,"#N/A","#N/A","#N/A",1465,NSW,4/81 Doncaster Av,0411 837 195,Kensington,Australia,"#N/A","#N/A","#N/A","#N/A",1465,NSW,4/81 Doncaster Av,(02) 6817 6366,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
098bb382-174c-4aa4-9165-42fcfe173e3f,77468aea-f5d3-4918-bbb3-fc0db92e78bb,"#N/A","#N/A",1971-05-28,"#N/A","Robert B. (R.B.) Harrison has been Macy’s, Inc.’s chief operations officer since September 2017, responsible for the company's systems, logistics and related operating functions. Previously, Harrison was chief omnichannel officer since January 2013, managing the development of strategies to closely integrate the company’s stores, online and mobile activities.",jmanningcongagdo+270@gmail.com.invalid,"#N/A","#N/A",Gusti,"#N/A","#N/A",Crawford,"#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,555 Corporate Ave.,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(835) 840-7202,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
09c7f4b7-c9f4-4692-b7cd-1a83f082c8d8,85626181-e9e7-4368-8677-61c366cbb9dd,"#N/A","#N/A","#N/A","#N/A","Gerd joined the Law Department of Jacobs Kaffee Deutschland GmbH in 1985, prior to its acquisition in 1990 by Altria Group, Inc. (formerly Philip Morris Companies Inc.). Gerd held a number of senior positions within the German Law Department, including Chief Counsel for the combined operations of Kraft and Jacobs Suchard, covering legal and regulatory affairs. In 2000, he was appointed Vice President & Chief Counsel for Kraft’s Central and Eastern Europe, Middle East and Africa Region, headquartered in Vienna.",jmanningcongagdo+82@gmail.com.invalid,"#N/A","#N/A",Cahra,"#N/A","#N/A",Sergio,"#N/A",Los Angeles,USA,"#N/A","#N/A","#N/A",90012,CA,1000 Elysian Park Avenue,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(670) 588-0519,"#N/A","#N/A",EVP adn General Counsel,Prodly,"#N/A","#N/A",false,false
09ea2268-1561-4565-b26b-8a60c850475c,d9eb05f5-52de-4ace-bfd9-e1481b33a691,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+749@gmail.com.invalid,"#N/A","#N/A",Elsi,"#N/A","#N/A",Ferdie,"#N/A",CARODA,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2347,"#N/A","#N/A",(03) 5338 4012,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
0a0de3cb-7e03-464d-9dd2-4d9b623b90d4,49e18681-06c0-4389-a778-f0a16d87293c,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+181@gmail.com.invalid,"#N/A","#N/A",Sibby,"#N/A","#N/A",Tirrell,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(525) 945-6875,"#N/A","#N/A",Buyer,Prodly,"#N/A","#N/A",false,false
0a52e920-1ee9-4a74-b384-cec9927a5468,8ef19b6b-4e1b-4207-a869-0c42aa3b3cd0,"#N/A",(07) 8371 6115,"#N/A",IT,"#N/A",jmanningcongagdo+742@gmail.com.invalid,"#N/A",(07) 8371 6115,Gabriela,"#N/A","#N/A",Beauregard,"#N/A",Kuraby,Australia,"#N/A","#N/A","#N/A",4112,QLD,28 Besline St,0430 758 166,Kuraby,Australia,"#N/A","#N/A","#N/A","#N/A",4112,QLD,28 Besline St,(07) 8371 6115,"#N/A","#N/A","VP, IT Operations",Prodly,"#N/A","#N/A",false,false
0bced117-1e65-45d9-8c93-579b47bd19f7,d0cbe96f-9a4d-42d3-b224-fe9649d71dc9,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+803@gmail.com.invalid,"#N/A","#N/A",Albertina,"#N/A","#N/A",Maxim,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 4039,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
0bcf988c-1ee9-4ec1-b3e1-ca474727256c,d225c100-912d-4fe8-9b80-c8df2aaca625,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+324@gmail.com.invalid,"#N/A","#N/A",Daryn,"#N/A","#N/A",Antin,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(214) 908-0898,"#N/A","#N/A","Executive Vice President, CFO",Prodly,"#N/A","#N/A",false,false
0c15c01a-1e1e-46d6-9052-835b00dabc9d,3126b25c-10d5-4916-ba2e-b51e27254b15,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+587@gmail.com.invalid,"#N/A","#N/A",Johanna,"#N/A","#N/A",Donnell,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,26 Dalgarno Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 3969,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
0c16889a-c129-4e4d-b091-0548e7591bf6,3b35a636-dae9-47d4-8485-3da379ba7c40,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+256@gmail.com.invalid,"#N/A","#N/A",Sissie,"#N/A","#N/A",Wat,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",202-555-0111,"#N/A","#N/A",CTO,Prodly,"#N/A","#N/A",false,false
0ccff171-a431-4137-baf0-f919c94f6f3e,77d9de81-4384-4495-ab27-941e7f569ae1,"#N/A",(02) 8975 6304,"#N/A",Operations,"#N/A",jmanningcongagdo+142@gmail.com.invalid,"#N/A",(02) 8975 6304,Aaren,"#N/A","#N/A",Innis,"#N/A",Bankstown Airport,Australia,"#N/A","#N/A","#N/A",2041,NSW,347-359 Milperra Road,0420 299 648,Bankstown Airport,Australia,"#N/A","#N/A","#N/A","#N/A",2041,NSW,347-359 Milperra Road,(02) 8975 6304,"#N/A","#N/A","Director, Customer Service",Prodly,"#N/A","#N/A",false,false
0d2bad6e-9167-4a94-8d1e-db1d921ae78c,ac7e3231-86ff-4503-82b8-5d3e2642aabd,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+120@gmail.com.invalid,"#N/A","#N/A",Karia,"#N/A","#N/A",Lawrence,"#N/A",Marple,UK,"#N/A","#N/A","#N/A",SK6 4HJ,"#N/A",14 Ross Road,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",85 0017 4455,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0dae2d26-22aa-4aac-97f4-209ce3d21a67,611574b8-6406-4e14-9409-d004d5c05f5a,"#N/A","#N/A","#N/A","#N/A","Steve serves on the boards of the Nationwide Children’s Hospital, OhioHealth, American Electric Power, and Catalyst. He also is a member of the Columbus Downtown Development Corporation & Capitol South and the Columbus Partnership, organizations focused on economic development and downtown Columbus revitalization. Steve also previously served as a board member of the National Urban League, the Insurance Information Institute, the Insurance Institute for Highway Safety and the Columbus Metropolitan Library, trustee for Grand View College in Des Moines, Iowa, and as co-chair for the United Way of Central Ohio Alexis de Tocqueville Vingt-Cinq Society campaign. Steve and his wife, Cindy, served as co-chairs of the 2012 United Way of Central Ohio campaign.",jmanningcongagdo+772@gmail.com.invalid,"#N/A","#N/A",Demeter,"#N/A","#N/A",Padriac,"#N/A",New York,USA,"#N/A","#N/A","#N/A","#N/A",NY,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(930) 686-2865,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
